"StateFIPS","State","CountyFIPS","County","Start Year","End Year","Value","Data Comment","Emissions Scenario","Absolute Threshold"
"13","Georgia","13055","Chattooga","2070","2099","84","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13057","Cherokee","2016","2045","26","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13057","Cherokee","2016","2045","29","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13057","Cherokee","2036","2065","38","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13057","Cherokee","2036","2065","49","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13057","Cherokee","2070","2099","49","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13057","Cherokee","2070","2099","83","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13059","Clarke","2016","2045","26","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13059","Clarke","2016","2045","29","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13059","Clarke","2036","2065","39","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13059","Clarke","2036","2065","49","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13059","Clarke","2070","2099","50","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13059","Clarke","2070","2099","84","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13061","Clay","2016","2045","30","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13061","Clay","2016","2045","32","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13061","Clay","2036","2065","44","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13061","Clay","2036","2065","52","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13061","Clay","2070","2099","54","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13061","Clay","2070","2099","84","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13063","Clayton","2016","2045","26","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13063","Clayton","2016","2045","28","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13063","Clayton","2036","2065","39","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13063","Clayton","2036","2065","48","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13063","Clayton","2070","2099","50","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13063","Clayton","2070","2099","85","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13065","Clinch","2016","2045","30","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13065","Clinch","2016","2045","32","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13065","Clinch","2036","2065","42","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13065","Clinch","2036","2065","49","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13065","Clinch","2070","2099","50","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13065","Clinch","2070","2099","81","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13067","Cobb","2016","2045","27","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13067","Cobb","2016","2045","30","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13067","Cobb","2036","2065","40","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13067","Cobb","2036","2065","49","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13067","Cobb","2070","2099","50","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13067","Cobb","2070","2099","84","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13069","Coffee","2016","2045","29","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13069","Coffee","2016","2045","31","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13069","Coffee","2036","2065","41","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13069","Coffee","2036","2065","49","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
